,index,smiles,comp.ID,CAS-RN,formula,mass,name,line,phases
306,307,CCCCCCCCOC1=C(OCCCCCCCC)C=C(N#C~[Cu]Cl)C=C1,80739.0,,C23H37Cl1Cu1N1O2,458.544,,C8H17-O-1/2Ph4-NC-Cu-Cl,Cr 80.3 Dh 96.5 is
307,308,CCCCCCCCCCOC1=C(OCCCCCCCCCC)C=C(N#C~[Cu]Cl)C=C1,80740.0,,C27H45Cl1Cu1N1O2,514.651,,C10H21-O-1/2Ph4-NC-Cu-Cl,Cr 81.4 Dh 115 is
308,309,CCCCCCCCCCCCOC1=C(OCCCCCCCCCCCC)C=C(N#C~[Cu]Cl)C=C1,80741.0,,C31H53Cl1Cu1N1O2,570.757,,C12H25-O-1/2Ph4-NC-Cu-Cl,Cr 86 Dh 124 is
323,324,CCCCCCCCCC(=O)NC1=CC=CC(NC(=O)CCCCCCCCC)=C1C,41111.0,,C27H46N2O2,430.666,Decanoicacid3-decanoylamino-2-methyl-phenylamide,C9H19-CONH-1/3Ph2-CH3,Cr 200 D 205 is
324,325,CCCCCCCCCCC(=O)NC1=CC=CC(NC(=O)CCCCCCCCCC)=C1C,41112.0,,C29H50N2O2,458.72,Undecanoicacid2-methyl-3-undecanoylamino-phenylamide,C10H21-CONH-1/3Ph2-CH3,Cr 191 D 203 is
325,326,CCCCCCCCCCCC(=O)NC1=CC=CC(NC(=O)CCCCCCCCCCC)=C1C,41113.0,,C31H54N2O2,486.773,Dodecanoicacid3-dodecanoylamino-2-methyl-phenylamide,C11H23-CONH-1/3Ph2-CH3,Cr 179 D 202 is
326,327,CCCCCCCCCCCCCC(=O)NC1=CC=CC(NC(=O)CCCCCCCCCCCCC)=C1C,41114.0,,C35H62N2O2,542.879,Tetradecanoicacid2-methyl-3-tetradecanoylamino-phenylamide,C13H27-CONH-1/3Ph2-CH3,Cr 168 D 201 is
327,328,CCCCCCCCCCCCCCCC(=O)NC1=CC=CC(NC(=O)CCCCCCCCCCCCCCC)=C1C,41115.0,,C39H70N2O2,598.985,Hexadecanoicacid3-hexadecanoylamino-2-methyl-phenylamide,C15H31-CONH-1/3Ph2-CH3,Cr 161 D 200 is
328,329,CCCCCCCCCCCCCCCCCC(=O)NC1=CC=CC(NC(=O)CCCCCCCCCCCCCCCCC)=C1C,41116.0,,C43H78N2O2,655.092,Octadecanoicacid2-methyl-3-octadecanoylamino-phenylamide,C17H35-CONH-1/3Ph2-CH3,Cr 156 D 199 is
329,330,CCCCCCCCCCOC1=CC(OCCCCCCCCCC)=CC(C(N)=O)=C1,63236.0,,C27H47N1O3,433.667,"3,5-Bis-decyloxy-benzamide",C10H21-O-3/5Ph1-CONH,Cr 86 D 67 is
331,332,CCCCCOC1=CC(C(N)=O)=CC(OCCCCC)=C1OCCCCC,63239.0,,C22H37N1O4,379.533,"3,4,5-Tris-pentyloxy-benzamide",C5H11-O-1/2/6Ph4-CONH,Cr 90 D 88 is
332,333,CCCCCCOC1=CC(C(N)=O)=CC(OCCCCCC)=C1OCCCCCC,63240.0,,C25H43N1O4,421.613,"3,4,5-Tris-hexyloxy-benzamide",C6H13-O-1/2/6Ph4-CONH,Cr 94 D 87 is
333,334,CCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCC)=C1OCCCCCCC,63241.0,,C28H49N1O4,463.693,"3,4,5-Tris-heptyloxy-benzamide",C7H15-O-1/2/6Ph4-CONH,Cr 80 D 89 is
334,335,CCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCC)=C1OCCCCCCCC,63242.0,156239-65-5,C31H55N1O4,505.773,"3,4,5-Tris-octyloxy-benzamide",C8H17-O-1/2/6Ph4-CONH,Cr 82 D 89 is
335,336,CCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCC)=C1OCCCCCCCCC,63243.0,156239-66-6,C34H61N1O4,547.852,"3,4,5-Tris-nonyloxy-benzamide",C9H19-O-1/2/6Ph4-CONH,Cr 81 D 88 is
336,337,CCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCC)=C1OCCCCCCCCCC,63244.0,,C37H67N1O4,589.932,"3,4,5-Tris-decyloxy-benzamide",C10H21-O-1/2/6Ph4-CONH,Cr 58 D 85 is
337,338,CCCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCCC)=C1OCCCCCCCCCCC,63245.0,,C40H73N1O4,632.012,"3,4,5-Tris-undecyloxy-benzamide",C11H23-O-1/2/6Ph4-CONH,Cr 57 D 81 is
338,339,CCCCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCCCC)=C1OCCCCCCCCCCCC,63246.0,156239-69-9,C43H79N1O4,674.092,"3,4,5-Tris-dodecyloxy-benzamide",C12H25-O-1/2/6Ph4-CONH,Cr 58 D 81 is
339,340,CCCCCCCCCCCCCCOC1=CC(C(N)=O)=CC(OCCCCCCCCCCCCCC)=C1OCCCCCCCCCCCCCC,63247.0,,C49H91N1O4,758.251,"3,4,5-Tris-tetradecyloxy-benzamide",C14H29-O-1/2/6Ph4-CONH,Cr 79 D 80 is
